from	to	value	patient
baseline_DN	12months_DN	351	CLAD1
baseline_M	12months_DN	1478	CLAD1
baseline_N	12months_DN	1478	CLAD1
baseline_P	12months_DN	861	CLAD1
baseline_DN	12months_M	351	CLAD1
baseline_M	12months_M	3501	CLAD1
baseline_N	12months_M	5715	CLAD1
baseline_P	12months_M	865	CLAD1
baseline_DN	12months_N	351	CLAD1
baseline_M	12months_N	3489	CLAD1
baseline_N	12months_N	7917	CLAD1
baseline_P	12months_N	860	CLAD1
baseline_DN	12months_P	351	CLAD1
baseline_M	12months_P	1322	CLAD1
baseline_N	12months_P	1321	CLAD1
baseline_P	12months_P	860	CLAD1
baseline_DN	6months_DN	333	CLAD1
baseline_M	6months_DN	306	CLAD1
baseline_N	6months_DN	297	CLAD1
baseline_P	6months_DN	302	CLAD1
baseline_DN	6months_M	358	CLAD1
baseline_M	6months_M	2306	CLAD1
baseline_N	6months_M	2292	CLAD1
baseline_P	6months_M	862	CLAD1
baseline_DN	6months_N	352	CLAD1
baseline_M	6months_N	3489	CLAD1
baseline_N	6months_N	7916	CLAD1
baseline_P	6months_N	859	CLAD1
baseline_DN	6months_P	366	CLAD1
baseline_M	6months_P	740	CLAD1
baseline_N	6months_P	738	CLAD1
baseline_P	6months_P	742	CLAD1
6months_DN	12months_DN	298	CLAD1
6months_M	12months_DN	1478	CLAD1
6months_N	12months_DN	1480	CLAD1
6months_P	12months_DN	739	CLAD1
6months_DN	12months_M	297	CLAD1
6months_M	12months_M	2298	CLAD1
6months_N	12months_M	5712	CLAD1
6months_P	12months_M	744	CLAD1
6months_DN	12months_N	301	CLAD1
6months_M	12months_N	2290	CLAD1
6months_N	12months_N	20174	CLAD1
6months_P	12months_N	739	CLAD1
6months_DN	12months_P	300	CLAD1
6months_M	12months_P	1326	CLAD1
6months_N	12months_P	1322	CLAD1
6months_P	12months_P	742	CLAD1
