from	to	value	patient
baseline_DN	12months_DN	359	CLAD2
baseline_M	12months_DN	638	CLAD2
baseline_N	12months_DN	490	CLAD2
baseline_P	12months_DN	579	CLAD2
baseline_DN	12months_M	344	CLAD2
baseline_M	12months_M	2377	CLAD2
baseline_N	12months_M	2195	CLAD2
baseline_P	12months_M	2506	CLAD2
baseline_DN	12months_N	344	CLAD2
baseline_M	12months_N	2473	CLAD2
baseline_N	12months_N	4705	CLAD2
baseline_P	12months_N	1649	CLAD2
baseline_DN	12months_P	350	CLAD2
baseline_M	12months_P	465	CLAD2
baseline_N	12months_P	386	CLAD2
baseline_P	12months_P	437	CLAD2
baseline_DN	6months_DN	185	CLAD2
baseline_M	6months_DN	184	CLAD2
baseline_N	6months_DN	169	CLAD2
baseline_P	6months_DN	189	CLAD2
baseline_DN	6months_M	356	CLAD2
baseline_M	6months_M	874	CLAD2
baseline_N	6months_M	788	CLAD2
baseline_P	6months_M	845	CLAD2
baseline_DN	6months_N	349	CLAD2
baseline_M	6months_N	2480	CLAD2
baseline_N	6months_N	4719	CLAD2
baseline_P	6months_N	1663	CLAD2
baseline_DN	6months_P	360	CLAD2
baseline_M	6months_P	526	CLAD2
baseline_N	6months_P	455	CLAD2
baseline_P	6months_P	609	CLAD2
6months_DN	12months_DN	165	CLAD2
6months_M	12months_DN	493	CLAD2
6months_N	12months_DN	497	CLAD2
6months_P	12months_DN	451	CLAD2
6months_DN	12months_M	174	CLAD2
6months_M	12months_M	793	CLAD2
6months_N	12months_M	2198	CLAD2
6months_P	12months_M	458	CLAD2
6months_DN	12months_N	170	CLAD2
6months_M	12months_N	791	CLAD2
6months_N	12months_N	27436	CLAD2
6months_P	12months_N	454	CLAD2
6months_DN	12months_P	166	CLAD2
6months_M	12months_P	388	CLAD2
6months_N	12months_P	389	CLAD2
6months_P	12months_P	386	CLAD2
