from	to	value	patient
baseline_DN	12months_DN	1449	CLAD3
baseline_M	12months_DN	3438	CLAD3
baseline_N	12months_DN	3359	CLAD3
baseline_P	12months_DN	2268	CLAD3
baseline_DN	12months_M	967	CLAD3
baseline_M	12months_M	966	CLAD3
baseline_N	12months_M	954	CLAD3
baseline_P	12months_M	972	CLAD3
baseline_DN	12months_N	1311	CLAD3
baseline_M	12months_N	3348	CLAD3
baseline_N	12months_N	5010	CLAD3
baseline_P	12months_N	2054	CLAD3
baseline_DN	12months_P	1435	CLAD3
baseline_M	12months_P	2114	CLAD3
baseline_N	12months_P	2104	CLAD3
baseline_P	12months_P	2223	CLAD3
baseline_DN	6months_DN	546	CLAD3
baseline_M	6months_DN	528	CLAD3
baseline_N	6months_DN	480	CLAD3
baseline_P	6months_DN	594	CLAD3
baseline_DN	6months_M	780	CLAD3
baseline_M	6months_M	767	CLAD3
baseline_N	6months_M	739	CLAD3
baseline_P	6months_M	786	CLAD3
baseline_DN	6months_N	1312	CLAD3
baseline_M	6months_N	3351	CLAD3
baseline_N	6months_N	5055	CLAD3
baseline_P	6months_N	2063	CLAD3
baseline_DN	6months_P	1767	CLAD3
baseline_M	6months_P	2399	CLAD3
baseline_N	6months_P	2332	CLAD3
baseline_P	6months_P	3006	CLAD3
6months_DN	12months_DN	636	CLAD3
6months_M	12months_DN	782	CLAD3
6months_N	12months_DN	3409	CLAD3
6months_P	12months_DN	2492	CLAD3
6months_DN	12months_M	491	CLAD3
6months_M	12months_M	749	CLAD3
6months_N	12months_M	956	CLAD3
6months_P	12months_M	973	CLAD3
6months_DN	12months_N	479	CLAD3
6months_M	12months_N	739	CLAD3
6months_N	12months_N	6698	CLAD3
6months_P	12months_N	2328	CLAD3
6months_DN	12months_P	605	CLAD3
6months_M	12months_P	776	CLAD3
6months_N	12months_P	2058	CLAD3
6months_P	12months_P	2203	CLAD3
