from	to	value	patient
baseline_DN	12months_DN	495	CLAD6
baseline_M	12months_DN	2112	CLAD6
baseline_N	12months_DN	687	CLAD6
baseline_P	12months_DN	352	CLAD6
baseline_DN	12months_M	492	CLAD6
baseline_M	12months_M	925	CLAD6
baseline_N	12months_M	686	CLAD6
baseline_P	12months_M	354	CLAD6
baseline_DN	12months_N	493	CLAD6
baseline_M	12months_N	2851	CLAD6
baseline_N	12months_N	690	CLAD6
baseline_P	12months_N	351	CLAD6
baseline_DN	12months_P	496	CLAD6
baseline_M	12months_P	1650	CLAD6
baseline_N	12months_P	689	CLAD6
baseline_P	12months_P	353	CLAD6
baseline_DN	6months_DN	521	CLAD6
baseline_M	6months_DN	1148	CLAD6
baseline_N	6months_DN	688	CLAD6
baseline_P	6months_DN	379	CLAD6
baseline_DN	6months_M	500	CLAD6
baseline_M	6months_M	1349	CLAD6
baseline_N	6months_M	688	CLAD6
baseline_P	6months_M	364	CLAD6
baseline_DN	6months_N	494	CLAD6
baseline_M	6months_N	2853	CLAD6
baseline_N	6months_N	719	CLAD6
baseline_P	6months_N	361	CLAD6
baseline_DN	6months_P	532	CLAD6
baseline_M	6months_P	610	CLAD6
baseline_N	6months_P	603	CLAD6
baseline_P	6months_P	372	CLAD6
6months_DN	12months_DN	1157	CLAD6
6months_M	12months_DN	1317	CLAD6
6months_N	12months_DN	2339	CLAD6
6months_P	12months_DN	616	CLAD6
6months_DN	12months_M	919	CLAD6
6months_M	12months_M	928	CLAD6
6months_N	12months_M	914	CLAD6
6months_P	12months_M	608	CLAD6
6months_DN	12months_N	1152	CLAD6
6months_M	12months_N	1309	CLAD6
6months_N	12months_N	19077	CLAD6
6months_P	12months_N	607	CLAD6
6months_DN	12months_P	1148	CLAD6
6months_M	12months_P	1323	CLAD6
6months_N	12months_P	1796	CLAD6
6months_P	12months_P	615	CLAD6
